risk_id,risk_class,center_lat,center_lon,station_id,station_name,station_lat,station_lon,distance_km
0,HIGH,37.9208,27.275,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,9.1136
1,LOW,37.9608,27.275,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,8.0872
2,LOW,37.9608,27.305,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,5.4589
3,LOW,37.9608,27.365,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,0.3106
4,LOW,37.9808,27.275,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,8.4506
5,HIGH,38.0008,27.155,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,15.5704
6,HIGH,38.0008,27.185,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,16.6443
7,LOW,38.0008,27.425,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,6.9041
8,LOW,38.0008,27.515,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,13.7771
9,LOW,38.0008,27.575,44,Tire İtfaiye Grubu,38.0947013,27.7445669,18.1519
10,LOW,38.0008,27.665,44,Tire İtfaiye Grubu,38.0947013,27.7445669,12.5525
11,LOW,38.0008,27.725,44,Tire İtfaiye Grubu,38.0947013,27.7445669,10.581
12,HIGH,38.0208,27.125,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,12.1995
13,HIGH,38.0208,27.155,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,14.5906
14,HIGH,38.0208,27.185,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,17.0513
15,HIGH,38.0208,27.395,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,7.3314
16,HIGH,38.0408,27.185,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,16.464
17,HIGH,38.0408,27.395,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,9.4578
18,HIGH,38.0408,27.425,42,Selçuk İtfaiye Amirliği,37.9586131,27.3672035,10.4482
19,LOW,38.0608,26.855,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,12.8064
20,HIGH,38.0608,26.885,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.1917
21,LOW,38.0608,27.395,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,7.7632
22,LOW,38.0608,27.425,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,8.4695
23,LOW,38.0608,27.485,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,11.6626
24,LOW,38.0608,27.665,44,Tire İtfaiye Grubu,38.0947013,27.7445669,7.9192
25,LOW,38.0608,27.695,44,Tire İtfaiye Grubu,38.0947013,27.7445669,5.7475
26,LOW,38.0608,28.085,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,11.3778
27,LOW,38.0608,28.115,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,8.855
28,LOW,38.0608,28.175,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,4.2072
29,LOW,38.0608,28.205,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,2.8345
30,HIGH,38.0808,26.885,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.1988
31,LOW,38.0808,26.915,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,7.5953
32,LOW,38.0808,26.945,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,5.0155
33,HIGH,38.0808,26.975,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,2.5322
34,LOW,38.0808,27.245,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,12.9022
35,LOW,38.0808,27.275,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,11.0839
36,HIGH,38.0808,27.305,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,8.8991
37,HIGH,38.0808,27.335,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,7.0226
38,LOW,38.0808,27.425,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,6.5088
39,HIGH,38.0808,27.515,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,12.6267
40,HIGH,38.0808,27.635,44,Tire İtfaiye Grubu,38.0947013,27.7445669,9.7128
41,HIGH,38.0808,27.665,44,Tire İtfaiye Grubu,38.0947013,27.7445669,7.133
42,LOW,38.0808,27.785,44,Tire İtfaiye Grubu,38.0947013,27.7445669,3.8615
43,LOW,38.0808,28.175,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,3.2026
44,LOW,38.1008,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,10.3155
45,HIGH,38.1008,26.885,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.6794
46,HIGH,38.1008,26.915,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,8.2302
47,HIGH,38.1008,26.945,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,5.9339
48,HIGH,38.1008,26.975,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,4.0587
49,LOW,38.1008,27.005,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,3.3946
50,HIGH,38.1008,27.035,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,4.5123
51,LOW,38.1008,27.155,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,11.1686
52,LOW,38.1008,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,10.2551
53,HIGH,38.1008,27.305,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,7.6923
54,LOW,38.1008,27.335,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,5.4624
55,LOW,38.1008,27.365,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,3.7073
56,LOW,38.1008,27.395,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,3.3805
57,LOW,38.1008,27.485,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,9.3347
58,HIGH,38.1008,27.545,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,14.3698
59,LOW,38.1008,27.575,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,14.3491
60,LOW,38.1008,27.605,44,Tire İtfaiye Grubu,38.0947013,27.7445669,12.2317
61,LOW,38.1008,27.635,44,Tire İtfaiye Grubu,38.0947013,27.7445669,9.6117
62,HIGH,38.1008,27.665,44,Tire İtfaiye Grubu,38.0947013,27.7445669,6.9955
63,HIGH,38.1008,27.695,44,Tire İtfaiye Grubu,38.0947013,27.7445669,4.3901
64,LOW,38.1008,27.815,44,Tire İtfaiye Grubu,38.0947013,27.7445669,6.2005
65,HIGH,38.1208,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,8.1019
66,HIGH,38.1208,26.885,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,8.783
67,HIGH,38.1208,26.915,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,9.3635
68,HIGH,38.1208,26.945,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,7.4269
69,HIGH,38.1208,26.975,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,6.0354
70,HIGH,38.1208,27.005,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,5.6105
71,LOW,38.1208,27.065,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,7.933
72,HIGH,38.1208,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,8.039
73,HIGH,38.1208,27.245,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,8.6882
74,LOW,38.1208,27.425,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,3.6471
75,LOW,38.1208,27.455,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,6.2073
76,LOW,38.1208,27.485,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,8.8053
77,LOW,38.1208,27.515,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,11.4152
78,HIGH,38.1208,27.545,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,13.7794
79,LOW,38.1208,27.635,44,Tire İtfaiye Grubu,38.0947013,27.7445669,10.0161
80,HIGH,38.1208,27.665,44,Tire İtfaiye Grubu,38.0947013,27.7445669,7.5423
81,HIGH,38.1208,27.695,44,Tire İtfaiye Grubu,38.0947013,27.7445669,5.2182
82,HIGH,38.1208,27.725,44,Tire İtfaiye Grubu,38.0947013,27.7445669,3.3694
83,LOW,38.1208,27.785,44,Tire İtfaiye Grubu,38.0947013,27.7445669,4.5757
84,HIGH,38.1408,26.825,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,6.0848
85,HIGH,38.1408,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,5.8961
86,HIGH,38.1408,26.885,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,6.8015
87,HIGH,38.1408,26.915,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,8.4566
88,HIGH,38.1408,26.945,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,9.2194
89,HIGH,38.1408,26.975,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,8.1407
90,HIGH,38.1408,27.005,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,7.8309
91,HIGH,38.1408,27.035,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,8.3759
92,LOW,38.1408,27.065,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,9.6317
93,LOW,38.1408,27.155,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,7.3167
94,LOW,38.1408,27.185,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,6.0726
95,LOW,38.1408,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,5.8288
96,LOW,38.1408,27.245,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,6.6955
97,LOW,38.1408,27.425,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,3.6888
98,LOW,38.1408,27.455,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,6.2313
99,LOW,38.1408,27.485,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,8.8216
100,LOW,38.1408,27.515,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,11.4272
101,LOW,38.1408,27.575,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,10.4391
102,HIGH,38.1408,27.635,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,8.6882
103,LOW,38.1408,27.695,44,Tire İtfaiye Grubu,38.0947013,27.7445669,6.714
104,LOW,38.1408,27.725,44,Tire İtfaiye Grubu,38.0947013,27.7445669,5.4042
105,HIGH,38.1408,28.175,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,6.8755
106,LOW,38.1608,26.825,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,4.0048
107,HIGH,38.1608,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,3.712
108,HIGH,38.1608,26.885,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,5.0272
109,HIGH,38.1608,26.945,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,9.4614
110,HIGH,38.1608,26.975,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.2959
111,HIGH,38.1608,27.005,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.0529
112,LOW,38.1608,27.035,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,10.4829
113,HIGH,38.1608,27.065,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,11.5108
114,LOW,38.1608,27.155,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,5.7245
115,LOW,38.1608,27.185,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,4.0145
116,LOW,38.1608,27.365,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,1.0142
117,HIGH,38.1608,27.485,12,Çaybaşı İtfaiye Grubu,38.1301752,27.385045,9.3808
118,LOW,38.1808,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,1.6387
119,HIGH,38.1808,26.885,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,3.765
120,LOW,38.1808,26.915,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,6.2781
121,HIGH,38.1808,26.945,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,8.8546
122,HIGH,38.1808,26.975,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,11.4517
123,HIGH,38.1808,27.005,21,Gümüldür İtfaiye Grubu,38.0704536,27.0007705,12.2755
124,LOW,38.1808,27.065,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,9.9533
125,HIGH,38.1808,27.095,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,8.7711
126,LOW,38.1808,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,1.5321
127,LOW,38.1808,27.275,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,6.1479
128,LOW,38.1808,27.305,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,6.1326
129,HIGH,38.1808,27.365,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,3.2377
130,LOW,38.1808,27.395,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,4.1899
131,HIGH,38.1808,27.575,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,7.1846
132,LOW,38.1808,28.085,8,Birgi İtfaiye Grubu,38.2530136,28.0658716,8.2018
133,LOW,38.1808,28.175,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,11.0185
134,LOW,38.1808,28.235,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,10.7646
135,HIGH,38.2008,26.465,24,Ilıca İtfaiye Grubu,38.305354,26.361923,14.7028
136,HIGH,38.2008,26.495,24,Ilıca İtfaiye Grubu,38.305354,26.361923,16.4375
137,LOW,38.2008,26.825,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,1.9343
138,LOW,38.2008,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,1.2177
139,HIGH,38.2008,26.945,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,8.7853
140,HIGH,38.2008,26.975,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,11.3976
141,HIGH,38.2008,27.005,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,12.356
142,HIGH,38.2008,27.125,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,6.0565
143,HIGH,38.2008,27.155,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,4.5733
144,LOW,38.2008,27.185,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,2.0664
145,LOW,38.2008,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,1.1708
146,LOW,38.2008,27.245,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,3.4954
147,LOW,38.2008,27.335,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,6.0424
148,LOW,38.2008,27.365,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,5.4615
149,LOW,38.2008,27.515,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,11.234
150,HIGH,38.2008,27.575,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,6.1464
151,HIGH,38.2008,27.665,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,2.863
152,HIGH,38.2008,27.695,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,5.0812
153,LOW,38.2008,27.965,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,2.4263
154,LOW,38.2008,28.115,8,Birgi İtfaiye Grubu,38.2530136,28.0658716,7.2197
155,LOW,38.2008,28.175,8,Birgi İtfaiye Grubu,38.2530136,28.0658716,11.1614
156,HIGH,38.2008,28.205,7,Beydağ İtfaiye Grubu,38.0858461,28.2110254,12.7931
157,HIGH,38.2208,26.435,24,Ilıca İtfaiye Grubu,38.305354,26.361923,11.3624
158,HIGH,38.2208,26.465,24,Ilıca İtfaiye Grubu,38.305354,26.361923,13.0148
159,HIGH,38.2208,26.495,24,Ilıca İtfaiye Grubu,38.305354,26.361923,14.9462
160,HIGH,38.2208,26.675,47,Urla İtfaiye Grubu,38.3274799,26.7704619,14.4968
161,HIGH,38.2208,26.705,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,12.6048
162,LOW,38.2208,26.765,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,7.627
163,LOW,38.2208,26.795,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,5.332
164,LOW,38.2208,26.855,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,3.1894
165,HIGH,38.2208,26.915,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,6.847
166,HIGH,38.2208,26.945,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,9.2655
167,HIGH,38.2208,26.975,41,Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,11.7711
168,HIGH,38.2208,27.005,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,11.4314
169,LOW,38.2208,27.125,36,Menderes İtfaiye Grubu,38.2552038,27.1283411,3.8366
170,HIGH,38.2208,27.185,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,3.631
171,HIGH,38.2208,27.215,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,3.2072
172,HIGH,38.2208,27.245,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,4.5967
173,LOW,38.2208,27.275,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,6.7613
174,HIGH,38.2208,27.305,27,İTOB OSB İtfaiye Grubu,38.192774,27.2063271,9.1675
175,LOW,38.2208,27.335,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,8.1084
176,LOW,38.2208,27.365,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,7.6853
177,LOW,38.2208,27.395,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,8.1322
178,LOW,38.2208,27.485,45,Torbalı İtfaiye Grubu,38.1516848,27.3645769,13.0322
179,HIGH,38.2208,27.575,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,5.8162
180,LOW,38.2208,27.665,4,Bayındır İtfaiye Grubu,38.2187664,27.6415279,2.0629
181,HIGH,38.2208,27.815,40,Ödemiş İtfaiyesi,38.2203779,27.9772609,14.175
